,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_B028,NA,69,80,NA,NA,0.17542,0.15028,NA,NA,0.375,1.125,NA,NA,NA,132.625,NA
W22 x TIL14 BC1S4# Line_B029,NA,71,81,NA,NA,0.215,0.17742,NA,NA,0.375,1.25,NA,NA,NA,153.375,NA
W22 x TIL14 BC1S4# Line_B030,NA,70,82,NA,NA,0.1781,0.17762,NA,NA,0.625,2.25,NA,NA,NA,137.875,NA
W22 x TIL14 BC1S4# Line_B031,NA,74,86,NA,NA,0.14186,0.12138,NA,NA,2.125,4.25,NA,NA,NA,155.25,NA
W22 x TIL14 BC1S4# Line_B032,NA,72,85,NA,NA,0.2465,0.20986,NA,NA,0.5,2.5,NA,NA,NA,175.5,NA
W22 x TIL14 BC1S4# Line_B033,NA,69,80,NA,NA,0.23176,0.21352,NA,NA,1.375,2.25,NA,NA,NA,153.125,NA
W22 x TIL14 BC1S4# Line_B034,NA,69,77,NA,NA,0.17422,0.1909,NA,NA,0.625,2.125,NA,NA,NA,132,NA
W22 x TIL14 BC1S4# Line_B035,NA,70,82,NA,NA,0.22982,0.22952,NA,NA,0.5,1.375,NA,NA,NA,153.75,NA
W22 x TIL14 BC1S4# Line_B036,NA,73,85,NA,NA,0.1988,0.17496,NA,NA,1.125,1.75,NA,NA,NA,141.75,NA
W22 x TIL14 BC1S4# Line_B037,NA,72,81,NA,NA,0.1438,0.1508,NA,NA,1.125,2.25,NA,NA,NA,146.875,NA
W22 x TIL14 BC1S4# Line_B038,NA,80,97,NA,NA,0.147444444,0.08684,NA,NA,0.375,1.25,NA,NA,NA,151.375,NA
W22 x TIL14 BC1S4# Line_B039,NA,72,83,NA,NA,0.170818182,0.129464286,NA,NA,1,1.875,NA,NA,NA,160.625,NA
W22 x TIL14 BC1S4# Line_B040,NA,89,108,NA,NA,0.116333333,NA,NA,NA,1.25,2.375,NA,NA,NA,109.625,NA
W22 x TIL14 BC1S4# Line_B041,NA,79,89,NA,NA,0.1662,0.13264,NA,NA,0.25,1.75,NA,NA,NA,151.875,NA
W22 x TIL14 BC1S4# Line_B044,NA,73,86,NA,NA,0.196,0.15652,NA,NA,0.75,2,NA,NA,NA,132.5,NA
W22 x TIL14 BC1S4# Line_B045,NA,71,83,NA,NA,0.16034,0.15518,NA,NA,1.875,2.75,NA,NA,NA,158.75,NA
W22 x TIL14 BC1S4# Line_B046,NA,75,89,NA,NA,0.2,0.16338,NA,NA,0.5,1,NA,NA,NA,156.625,NA
W22 x TIL14 BC1S4# Line_B047,NA,76,90,NA,NA,0.20254,0.15542,NA,NA,1.375,2.5,NA,NA,NA,163.375,NA
W22 x TIL14 BC1S4# Line_B048,NA,72,81,NA,NA,0.2071,0.17344,NA,NA,0.5,2.625,NA,NA,NA,137.5,NA
W22 x TIL14 BC1S4# Line_B049,NA,69,82,NA,NA,0.18498,0.1756,NA,NA,0.125,1.125,NA,NA,NA,150.625,NA
W22 x TIL14 BC1S4# Line_B050,NA,74,86,NA,NA,0.1679,0.11252,NA,NA,1.5,1.375,NA,NA,NA,158.75,NA
W22 x TIL14 BC1S4# Line_B051,NA,75,89,NA,NA,0.16852,0.16676,NA,NA,0.875,1.625,NA,NA,NA,135.25,NA
W22 x TIL14 BC1S4# Line_B055,NA,76,89,NA,NA,0.19558,0.17092,NA,NA,1.625,2.375,NA,NA,NA,156.75,NA
W22 x TIL14 BC1S4# Line_B056,NA,71,84,NA,NA,0.2132,0.19556,NA,NA,1,2.875,NA,NA,NA,171.375,NA
W22 x TIL14 BC1S4# Line_B057,NA,71,83,NA,NA,0.19316,0.15378,NA,NA,0.375,1.25,NA,NA,NA,162.25,NA
W22 x TIL14 BC1S4# Line_B058,NA,70,82,NA,NA,0.19402,0.19602,NA,NA,0.25,1.5,NA,NA,NA,161.375,NA
